idx,lat,long,alt,impValue,valYear,stories,zipCode,squareFeet,mktValue,className,disRate,selfMoveYear,motMoveYear,selfMoveFlag,motiMoveFlag,freeRiderFlag,movedOutFlag,property,cumuLoss
1080,29.27769,-94.828423,1.5,171900,2018,1,77551,3833,177240,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1081,29.300639,-94.791754,0.3,87820,2018,1,77550,10280,162120,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1082,29.276451,-94.838482,1.4,136100,2018,1,77551,5968,159500,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1083,29.194411,-94.980284,4.1,237580,2018,1,77554,19820,656110,M,0.12,200,43,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1084,29.280066,-94.827702,1.5,101300,2018,1,77551,4966,109560,L,0.18,18,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1085,29.307102,-94.776466,1.5,136550,2018,1,77550,5140,155630,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1086,29.200719,-94.943801,3.6,125490,2018,1,77554,3964,141990,L,0.18,200,36,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1087,29.315536,-94.772658,4.3,139310,2018,1,77550,6490,158020,M,0.12,200,150,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1088,29.143742,-95.05244,2.7,212260,2018,1,77554,6055,360000,M,0.12,17,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1089,29.282312,-94.809758,2.7,49980,2018,1,77550,1786,56740,L,0.18,200,46,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1090,29.279738,-94.811239,2.6,149210,2018,1,77550,5837,169110,M,0.12,17,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1091,29.294081,-94.801955,3.5,293550,2018,1,77550,5140,309740,M,0.12,9,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1092,29.183281,-94.976902,1.5,95310,2018,1,77554,6882,115730,L,0.18,20,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1093,29.292383,-94.808218,1.5,85090,2018,1,77550,2788,95430,L,0.18,20,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1094,29.275746,-94.840185,1.5,78820,2018,1,77551,4922,103450,L,0.18,22,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1095,29.285696,-94.80508,2.6,61900,2018,1,77550,1699,68250,L,0.18,200,39,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1096,29.276898,-94.830166,2.2,66420,2018,1,77551,5750,74490,L,0.18,50,28,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1097,29.297469,-94.797827,0.4,121740,2018,1,77550,5140,137930,L,0.18,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1098,29.226912,-94.922183,1.8,190140,2018,1,77554,7754,234050,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1099,29.319935,-94.771595,1.7,41620,2018,1,77550,5968,67860,L,0.18,33,7,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1100,29.297714,-94.928775,3,132750,2018,1,77554,4051,300830,M,0.12,32,15,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1101,29.172483,-94.988598,1.4,232460,2018,1,77554,6490,292190,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1102,29.32468,-94.772672,1.5,210290,2018,1,77550,7667,239310,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1103,29.292687,-94.788722,2.8,191930,2018,1,77550,5097,210950,M,0.12,15,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1104,29.318263,-94.771214,4,118760,2018,1,77550,5968,145000,L,0.18,200,57,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1105,29.286946,-94.831319,2.9,92950,2018,1,77551,5401,100520,L,0.18,200,36,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1106,29.279636,-94.811623,2.1,16490,2018,1,77550,5053,35200,L,0.18,200,34,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1107,29.315211,-94.769222,2.1,109330,2018,1,77550,5489,144940,L,0.18,39,20,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1108,29.321911,-94.771294,3.8,120170,2018,1,77550,5663,145110,L,0.18,200,42,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1109,29.288979,-94.830162,1.4,68180,2018,1,77551,2962,78680,L,0.18,16,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1110,29.301984,-94.799606,1.6,76480,2018,1,77550,5140,90990,L,0.18,26,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1111,29.279488,-94.815795,3.9,123560,2018,1,77551,4008,138370,L,0.18,200,45,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1112,29.131538,-95.055531,1.5,299230,2018,1,77554,7579,336000,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1113,29.279307,-94.81441,3.2,96160,2018,1,77551,5097,115230,L,0.18,200,38,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1114,29.271507,-94.880117,2.6,119870,2018,1,77554,4225,149500,L,0.18,50,30,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1115,29.29955,-94.802025,0.6,87220,2018,1,77550,6011,99240,L,0.18,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1116,29.284734,-94.817005,2.8,51910,2018,1,77551,2997,64290,L,0.18,200,49,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1117,29.277702,-94.822608,1.5,104400,2018,1,77551,5227,125930,L,0.18,19,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1118,29.298126,-94.787684,1.6,284380,2018,1,77550,6839,305960,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1119,29.193347,-94.979055,1.5,287080,2018,1,77554,7187,378390,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1120,29.128307,-95.072947,1.4,152690,2018,1,77554,18644,185370,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1121,29.143551,-95.044376,2,71370,2018,1,77554,6229,99680,L,0.18,41,22,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1122,29.266415,-94.841647,2.9,134890,2018,1,77551,6578,155350,M,0.12,25,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1123,29.300435,-94.784685,1.7,135070,2018,1,77550,3136,152600,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1124,29.302332,-94.779289,1.4,62420,2018,1,77550,2570,72000,L,0.18,16,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1125,29.124769,-95.070001,1.7,87280,2018,1,77554,6839,99280,L,0.18,28,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1126,29.296525,-94.781286,3.6,90830,2018,1,77550,5097,109900,L,0.18,200,44,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1127,29.270359,-94.835437,2.9,122890,2018,1,77551,6186,140870,L,0.18,53,31,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1128,29.192265,-94.978193,2.6,132650,2018,1,77554,7187,223960,M,0.12,24,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1129,29.281828,-94.812152,3.4,68840,2018,1,77550,6621,93000,L,0.18,200,51,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1130,29.285061,-94.82197,1.4,74680,2018,1,77551,3964,91190,L,0.18,16,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1131,29.292688,-94.80883,2.6,65680,2018,1,77550,4051,80830,L,0.18,200,39,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1132,29.285565,-94.805586,2.7,105360,2018,1,77550,5358,125870,L,0.18,57,32,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1133,29.144166,-95.051794,1.5,235300,2018,1,77554,7405,416210,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1134,29.274538,-94.824688,1.5,217440,2018,1,77551,7754,242440,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1135,29.287867,-94.81789,2.2,165700,2018,1,77551,5968,194200,M,0.12,2,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1136,29.256067,-94.867527,2.6,223810,2018,1,77554,9235,251500,M,0.12,6,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
